BookingStatus,Wno,ClassOfTravel,JourneyDate,Weekdays,Month,Days,Astatus
WL,9,3A,2/12/2016,6,12,2,1
WL,3,3A,1/12/2016,5,12,1,1
WL,1,2A,3/12/2016,7,12,3,0
WL,67,SL,3/12/2016,7,12,3,0
WL,61,SL,3/12/2016,7,12,3,0
WL,94,SL,3/12/2016,7,12,3,0
WL,53,SL,5/12/2016,2,12,5,0
WL,57,SL,5/12/2016,2,12,5,1
WL,56,SL,7/12/2016,4,12,7,0
WL,96,SL,7/12/2016,4,12,7,0
WL,5,SL,12/12/2016,2,12,12,0
WL,64,SL,12/12/2016,2,12,12,0
WL,25,SL,13-12-2016,3,12,13,0
WL,10,SL,7/1/2017,7,1,7,1
WL,32,SL,8/1/2017,1,1,8,0
WL,11,SL,8/1/2017,1,1,8,0
WL,6,SL,9/1/2017,2,1,9,1
WL,5,3A,9/1/2017,2,1,9,1
WL,55,SL,9/1/2017,2,1,9,0
WL,109,SL,9/1/2017,2,1,9,0
WL,36,SL,9/1/2017,2,1,9,0
WL,21,SL,9/1/2017,2,1,9,0
WL,43,SL,9/1/2017,2,1,9,0
WL,100,SL,9/1/2017,2,1,9,0
WL,15,3A,10/1/2017,3,1,10,0
WL,24,SL,10/1/2017,3,1,10,0
WL,25,SL,10/1/2017,3,1,10,0
WL,70,SL,10/1/2017,3,1,10,0
WL,5,SL,11/1/2017,4,1,11,0
WL,98,SL,10/1/2017,3,1,10,0
WL,1,3A,11/1/2017,4,1,11,0
WL,18,SL,10/1/2017,3,1,10,0
WL,2,3A,11/1/2017,4,1,11,0
WL,3,2A,11/1/2017,4,1,11,0
WL,34,SL,11/1/2017,4,1,11,1
WL,123,SL,11/1/2017,4,1,11,0
WL,46,SL,11/1/2017,4,1,11,1
WL,13,SL,10/1/2017,3,1,10,0
WL,79,SL,11/1/2017,4,1,11,0
WL,11,3A,10/1/2017,3,1,10,0
WL,3,2A,10/1/2017,3,1,10,1
WL,93,SL,11/1/2017,4,1,11,0
WL,64,SL,11/1/2017,4,1,11,0
WL,67,SL,11/1/2017,4,1,11,0
WL,5,SL,11/1/2017,4,1,11,1
WL,59,SL,11/1/2017,4,1,11,0
WL,8,3A,11/1/2017,4,1,11,0
WL,5,2A,12/1/2017,5,1,12,0
WL,38,SL,12/1/2017,5,1,12,0
WL,20,SL,11/1/2017,4,1,11,0
WL,16,SL,12/1/2017,5,1,12,0
WL,116,SL,12/1/2017,5,1,12,0
WL,71,SL,12/1/2017,5,1,12,0
WL,24,SL,12/1/2017,5,1,12,0
WL,36,3A,12/1/2017,5,1,12,0
WL,30,SL,12/1/2017,5,1,12,0
WL,21,3A,13-01-2017,6,1,13,0
WL,85,SL,12/1/2017,5,1,12,0
WL,50,3A,12/1/2017,5,1,12,0
WL,26,3A,12/1/2017,5,1,12,0
WL,15,SL,13-01-2017,6,1,13,0
WL,33,SL,12/1/2017,5,1,12,0
WL,83,SL,13-01-2017,6,1,13,0
WL,77,SL,13-01-2017,6,1,13,0
WL,73,SL,13-01-2017,6,1,13,0
WL,110,SL,13-01-2017,6,1,13,0
WL,42,SL,13-01-2017,6,1,13,0
WL,5,2A,13-01-2017,6,1,13,0
WL,109,SL,13-01-2017,6,1,13,0
WL,38,SL,13-01-2017,6,1,13,0
WL,20,SL,13-01-2017,6,1,13,0
WL,67,SL,13-01-2017,6,1,13,0
WL,7,SL,13-01-2017,6,1,13,1
WL,90,SL,13-01-2017,6,1,13,0
WL,7,SL,13-01-2017,6,1,13,0
WL,1,3A,15-01-2017,1,1,15,0
WL,13,3A,14-01-2017,7,1,14,0
WL,5,SL,14-01-2017,7,1,14,1
WL,13,SL,15-01-2017,1,1,15,1
WL,28,SL,13-01-2017,6,1,13,0
WL,34,SL,14-01-2017,7,1,14,0
WL,46,SL,14-01-2017,7,1,14,0
WL,47,SL,14-01-2017,7,1,14,0
WL,3,SL,14-01-2017,7,1,14,0
WL,17,SL,15-01-2017,1,1,15,0
WL,6,SL,16-01-2017,2,1,16,0
WL,30,SL,14-01-2017,7,1,14,0
WL,33,SL,16-01-2017,2,1,16,0
WL,7,SL,16-01-2017,2,1,16,0
WL,14,SL,16-01-2017,2,1,16,0
WL,10,SL,15-01-2017,1,1,15,0
WL,8,SL,16-01-2017,2,1,16,0
WL,7,SL,16-01-2017,2,1,16,0
WL,59,SL,16-01-2017,2,1,16,0
WL,5,3A,16-01-2017,2,1,16,1
WL,10,3A,17-01-2017,3,1,17,1
WL,40,SL,17-01-2017,3,1,17,0
WL,30,SL,18-01-2017,4,1,18,0
WL,5,SL,19-01-2017,5,1,19,0
WL,35,SL,18-01-2017,4,1,18,0
WL,3,3A,19-01-2017,5,1,19,0
WL,2,2A,19-01-2017,5,1,19,1
WL,1,SL,20-01-2017,6,1,20,0
WL,61,SL,19-01-2017,5,1,19,0
WL,15,SL,19-01-2017,5,1,19,0
WL,11,SL,20-01-2017,6,1,20,0
WL,16,SL,20-01-2017,6,1,20,0
WL,7,3A,21-01-2017,7,1,21,0
WL,9,SL,21-01-2017,7,1,21,0
WL,47,SL,20-01-2017,6,1,20,0
WL,13,3A,21-01-2017,7,1,21,1
WL,24,SL,22-01-2017,1,1,22,0
WL,4,SL,22-01-2017,1,1,22,1
WL,8,SL,22-01-2017,1,1,22,1
WL,12,3A,22-01-2017,1,1,22,1
WL,4,3A,22-01-2017,1,1,22,1
WL,1,SL,22-01-2017,1,1,22,1
WL,21,SL,25-01-2017,4,1,25,1
WL,47,SL,25-01-2017,4,1,25,0
WL,25,SL,25-01-2017,4,1,25,0
WL,12,SL,28-01-2017,7,1,28,0
WL,22,SL,28-01-2017,7,1,28,0
WL,69,SL,28-01-2017,7,1,28,0
WL,10,SL,29-01-2017,1,1,29,0
WL,14,3A,29-01-2017,1,1,29,0
WL,1,3A,30-01-2017,2,1,30,0
WL,72,SL,29-01-2017,1,1,29,1
